Object Name,image number,Circular Aperture Flux,Annulus Aperture Flux,PSF Flux
CCCom,0,91885.74088505932,91063.72981041449 adu,79861.21835505593
CCCom,1,87356.3125775088,86872.91185322625 adu,76931.59380093802
CCCom,2,51145.105014254834,49930.50433374895 adu,43975.508948961404
TZBoo,2,193256.47176549662,193934.27270230372 adu,171465.38445501003
TZBoo,0,172493.99489640014,170981.01054188446 adu,150644.25463032455
TZBoo,1,185602.25970795815,187150.78853586206 adu,164942.16007517176
TZBoo,3,168553.9719330747,169092.8400601847 adu,150070.16134512232
